County,FIPS,Micrograms per cubic meter (PM2.5)(1)
New Jersey,34000,7.8
United States,0,7.4
Bergen,34003,11.0
Camden,34007,10.3
Union,34039,10.2
Hudson,34017,9.0
Essex,34013,8.9
Burlington,34005,8.8
Salem,34033,8.5
Somerset,34035,8.4
Monmouth,34025,8.2
Middlesex,34023,7.9
Cumberland,34011,7.8
Hunterdon,34019,7.8
Passaic,34031,7.7
Sussex,34037,7.7
Mercer,34021,7.6
Cape May,34009,7.4
Warren,34041,7.4
Atlantic,34001,7.1
Gloucester,34015,7.1
Ocean,34029,6.3
Morris,34027,5.6
